codigo,codCliente,descricao,alerta
957,100695,NFeMais - Plano Básico,URL Contrato Ausente
958,100696,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
959,100696,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
961,100698,NFeMais - Plano Básico,URL Contrato Ausente
963,100700,eGestor 4 - Plano Bronze,URL Contrato Ausente
964,100700,eGestor 4 - Módulo NFCe,URL Contrato Ausente | Diferença Valor (57.9%)
969,100705,NFeMais - Plano Básico,URL Contrato Ausente
973,100706,NFeMais - Plano Básico,URL Contrato Ausente
983,100660,eGestor 4 - Módulo NFe,Diferença Valor (100.0%)
987,100718,eGestor 4 - Plano Avançado,Diferença Valor (32.0%)
989,100719,NFeMais - Plano Básico,URL Contrato Ausente
991,100721,NFeMais - Plano Ilimitado,URL Contrato Ausente
992,100722,NFeMais - Plano Básico,URL Contrato Ausente
994,100724,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
995,100724,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
996,100404,NFeMais - Plano Ilimitado,URL Contrato Ausente
1005,100665,Revenda Site - Bônus Parceiro,URL Contrato Ausente
1006,100729,eGestor 4 - Plano Iniciante,Diferença Valor (64.3%)
1014,100737,eGestor 4 - Plano Avançado,Diferença Valor (32.0%)
1015,100737,Site Institucional,URL Contrato Ausente
1020,100740,NFeMais - Plano Básico,URL Contrato Ausente
1021,100567,NFeMais - Plano Ilimitado,URL Contrato Ausente
1028,100744,eGestor 4 - Módulo NFCe,URL Contrato Ausente
1031,100751,eGestor 4 - Plano Avançado,Diferença Valor (32.0%)
1037,100754,eGestor 4 - Micro,URL Contrato Ausente | Diferença Valor (37.5%)
1040,100757,NFeMais - Plano Básico,URL Contrato Ausente
1041,100758,NFeMais - Plano Básico,URL Contrato Ausente
1045,100761,eGestor 3 - Adicional Usuários,Diferença Valor (100.0%)
1046,100762,eGestor 4 - Plano Ultra,URL Contrato Ausente
1050,100764,Revenda NFeMais - Plano Básico,Diferença Valor (33.3%)
1051,100764,Revenda NFeMais - Plano Básico,Diferença Valor (33.3%)
1052,100764,Revenda NFeMais - Plano Básico,Diferença Valor (33.3%)
1053,100764,Revenda NFeMais - Plano Básico,Diferença Valor (33.3%)
1054,100764,Revenda NFeMais - Plano Básico,Diferença Valor (33.3%)
1055,100765,eGestor 4 - Plano Bronze,URL Contrato Ausente
1056,100765,Site Institucional,URL Contrato Ausente
1061,100769,NFeMais - Plano Básico,URL Contrato Ausente
1062,100770,NFeMais - Plano Básico,URL Contrato Ausente
1064,100771,eGestor 4 - Adicional Usuários,Diferença Valor (100.0%)
1065,100772,eGestor 4 - Plano Ouro,URL Contrato Ausente
1066,100773,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
1067,100774,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
1068,100774,eGestor 4 - Módulo NFSe,URL Contrato Ausente | Diferença Valor (100.0%)
1069,100773,eGestor 4 - Módulo NFSe,URL Contrato Ausente | Diferença Valor (100.0%)
1070,100654,NFeMais - Plano Ilimitado,URL Contrato Ausente
1075,100777,NFeMais - Plano Básico,URL Contrato Ausente
1077,100779,NFeMais - Plano Ilimitado,URL Contrato Ausente
1078,100686,eGestor 4 - Plano Ouro,Diferença Valor (33.4%)
1080,100781,eGestor 4 - Plano Iniciante,URL Contrato Ausente
1082,100782,GetCommerce,Diferença Valor (33.1%)
1083,100783,eGestor 4 - Plano Iniciante,URL Contrato Ausente
1087,100786,NFeMais - Plano Ilimitado,URL Contrato Ausente
1089,100788,eGestor 4 - Plano Iniciante,Diferença Valor (30.0%)
1091,100790,NFeMais - Plano Ilimitado,URL Contrato Ausente
1102,100410,Revenda Site - Bônus Parceiro,URL Contrato Ausente
1107,100801,eGestor 4 - Plano Bronze,URL Contrato Ausente
1108,100801,eGestor 4 - Módulo NFe,URL Contrato Ausente | Diferença Valor (100.0%)
1139,100200,eGestor 4 - Plano Avançado,URL Contrato Ausente
1144,100818,eGestor 4 - Plano Ultra,Diferença Valor (30.0%)
1145,100819,eGestor 4 - Plano Avançado,Diferença Valor (32.0%)
1157,100513,eGestor 4 - Adicional Usuários,Diferença Valor (100.0%)
1160,100827,NFeMais - Plano Básico,URL Contrato Ausente
1164,100803,eGestor 4 - Plano Iniciante,Diferença Valor (30.0%)
1168,100829,eGestor 4 - Plano Bronze,Diferença Valor (36.4%)
1173,100836,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1174,100836,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1175,100836,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1177,100838,eGestor 4 - Plano Bronze,URL Contrato Ausente | Diferença Valor (36.4%)
1178,100840,NFeMais - Plano Básico,URL Contrato Ausente
1182,100288,eGestor 4 - Plano Ultra,URL Contrato Ausente
1185,100845,NFeMais - Plano Ilimitado,URL Contrato Ausente
1188,100847,NFeMais - Plano Básico,URL Contrato Ausente
1192,100851,NFeMais - Plano Básico,URL Contrato Ausente
1194,100853,NFeMais - Plano Ilimitado,Diferença Valor (44.5%)
1196,100637,eGestor 4 - Plano Ouro,URL Contrato Ausente
1197,100856,NFeMais - Plano Básico,URL Contrato Ausente
1203,100855,eGestor 4 - Módulo Produção,Diferença Valor (40.1%)
1205,100858,Revenda eGestor 4 - Plano Ultra,Diferença Valor (30.7%)
1206,100858,Revenda eGestor 4 - Plano Ultra,Diferença Valor (30.7%)
1211,100862,eGestor 4 - Plano Prata,URL Contrato Ausente
1214,100865,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1215,100865,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1219,100550,Site Institucional,URL Contrato Ausente
1220,100868,NFeMais - Plano Básico,URL Contrato Ausente
1222,100872,Revenda eGestor 4 - Plano Avançado,Diferença Valor (100.0%)
1223,100872,Revenda eGestor 4 - Plano Avançado,Diferença Valor (100.0%)
1225,100884,NFeMais - Plano Ilimitado,URL Contrato Ausente
1226,100885,NFeMais - Plano Básico,URL Contrato Ausente
1227,100886,NFeMais - Plano Básico,URL Contrato Ausente
1238,100893,eGestor 4 - Plano Avançado,URL Contrato Ausente
1239,100894,eGestor 4 - Plano Ultra,URL Contrato Ausente
1241,100857,Site Institucional,URL Contrato Ausente
1243,100895,eGestor 4 - Plano Avançado,Gap Cobrança (62 dias)
1251,100902,NFeMais - Plano Básico,URL Contrato Ausente
1255,100906,NFeMais - Plano Básico,URL Contrato Ausente
1258,100908,eGestor 4 - Módulo NFSe,URL Contrato Ausente | Diferença Valor (100.0%)
1262,100911,eGestor 4 - Plano Avançado,URL Contrato Ausente
1263,100910,eGestor 4 - Plano Prata,URL Contrato Ausente
1270,100915,GetCommerce,Diferença Valor (55.5%)
1278,100920,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
1280,100922,eGestor 4 - Plano Iniciante,Diferença Valor (47.6%)
1282,100924,NFeMais - Plano Básico,URL Contrato Ausente
1287,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1288,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1289,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1290,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1291,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1292,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1293,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1294,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1295,100926,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
1299,100927,eGestor 4 - Módulo NFSe,URL Contrato Ausente | Diferença Valor (100.0%)
1305,100932,eGestor 4 - Plano Avançado,URL Contrato Ausente
1306,100933,NFeMais - Plano Básico,URL Contrato Ausente
1307,100934,Revenda eGestor 4 - Plano Avançado,Diferença Valor (51.8%)
1308,100934,Revenda eGestor 4 - Plano Avançado,Diferença Valor (51.8%)
1309,100935,eGestor 4 - Plano Ultra,Diferença Valor (30.0%)
1312,100938,NFeMais - Plano Básico,URL Contrato Ausente
